protein_id,evo_model,unique_id,seen_count,not_seen_count,file_path,S3
NP_001341516.1,ESM1V,NP_001341516.1_ESM1V_snv_5,876,14545,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_001341516.1_ESM1V_snv_5.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_001341516.1_ESM1V_snv_5.csv
NP_057197.2,ESM1V,NP_057197.2_ESM1V_snv_9,460,5649,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_057197.2_ESM1V_snv_9.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_057197.2_ESM1V_snv_9.csv
NP_115599.2,ESM1V,NP_115599.2_ESM1V_snv_11,1346,15343,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_115599.2_ESM1V_snv_11.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_115599.2_ESM1V_snv_11.csv
NP_060956.1,ESM1V,NP_060956.1_ESM1V_snv_19,70,2863,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_060956.1_ESM1V_snv_19.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_060956.1_ESM1V_snv_19.csv
NP_055926.1,ESM1V,NP_055926.1_ESM1V_snv_21,465,4017,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_055926.1_ESM1V_snv_21.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_055926.1_ESM1V_snv_21.csv
NP_775292.1,ESM1V,NP_775292.1_ESM1V_snv_23,324,4808,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_775292.1_ESM1V_snv_23.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_775292.1_ESM1V_snv_23.csv
NP_037396.3,ESM1V,NP_037396.3_ESM1V_snv_30,350,3508,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_037396.3_ESM1V_snv_30.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_037396.3_ESM1V_snv_30.csv
NP_009004.2,ESM1V,NP_009004.2_ESM1V_snv_34,235,2681,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_009004.2_ESM1V_snv_34.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_009004.2_ESM1V_snv_34.csv
NP_061834.1,ESM1V,NP_061834.1_ESM1V_snv_40,528,4784,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_061834.1_ESM1V_snv_40.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_061834.1_ESM1V_snv_40.csv
NP_003354.2,ESM1V,NP_003354.2_ESM1V_snv_42,585,7052,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_003354.2_ESM1V_snv_42.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_003354.2_ESM1V_snv_42.csv
