protein_id,evo_model,unique_id,seen_count,not_seen_count,file_path,S3
NP_001341516.1,ESM1V,NP_001341516.1_ESM1V_4,876,35509,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001341516.1_ESM1V_4.csv,data/model_score_files/popEVE_training_files_20240420/NP_001341516.1_ESM1V_4.csv
NP_057197.2,ESM1V,NP_057197.2_ESM1V_8,460,14056,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_057197.2_ESM1V_8.csv,data/model_score_files/popEVE_training_files_20240420/NP_057197.2_ESM1V_8.csv
NP_115599.2,ESM1V,NP_115599.2_ESM1V_10,1346,37300,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_115599.2_ESM1V_10.csv,data/model_score_files/popEVE_training_files_20240420/NP_115599.2_ESM1V_10.csv
NP_060956.1,ESM1V,NP_060956.1_ESM1V_18,70,7093,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_060956.1_ESM1V_18.csv,data/model_score_files/popEVE_training_files_20240420/NP_060956.1_ESM1V_18.csv
NP_055926.1,ESM1V,NP_055926.1_ESM1V_20,465,9871,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_055926.1_ESM1V_20.csv,data/model_score_files/popEVE_training_files_20240420/NP_055926.1_ESM1V_20.csv
NP_775292.1,ESM1V,NP_775292.1_ESM1V_22,324,11779,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_775292.1_ESM1V_22.csv,data/model_score_files/popEVE_training_files_20240420/NP_775292.1_ESM1V_22.csv
NP_037396.3,ESM1V,NP_037396.3_ESM1V_29,350,8827,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_037396.3_ESM1V_29.csv,data/model_score_files/popEVE_training_files_20240420/NP_037396.3_ESM1V_29.csv
NP_009004.2,ESM1V,NP_009004.2_ESM1V_33,235,6605,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_009004.2_ESM1V_33.csv,data/model_score_files/popEVE_training_files_20240420/NP_009004.2_ESM1V_33.csv
NP_061834.1,ESM1V,NP_061834.1_ESM1V_39,528,12031,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_061834.1_ESM1V_39.csv,data/model_score_files/popEVE_training_files_20240420/NP_061834.1_ESM1V_39.csv
NP_003354.2,ESM1V,NP_003354.2_ESM1V_41,585,17712,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_003354.2_ESM1V_41.csv,data/model_score_files/popEVE_training_files_20240420/NP_003354.2_ESM1V_41.csv
NP_001191140.1,ESM1V,NP_001191140.1_ESM1V_57,163,3561,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001191140.1_ESM1V_57.csv,data/model_score_files/popEVE_training_files_20240420/NP_001191140.1_ESM1V_57.csv
NP_001073949.1,ESM1V,NP_001073949.1_ESM1V_65,314,9091,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001073949.1_ESM1V_65.csv,data/model_score_files/popEVE_training_files_20240420/NP_001073949.1_ESM1V_65.csv
NP_001287771.1,ESM1V,NP_001287771.1_ESM1V_71,171,6631,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001287771.1_ESM1V_71.csv,data/model_score_files/popEVE_training_files_20240420/NP_001287771.1_ESM1V_71.csv
