protein_id,evo_model,unique_id,seen_count,not_seen_count,file_path,S3
NP_001341516.1,EVE,NP_001341516.1_EVE_snv_4,876,14545,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_001341516.1_EVE_snv_4.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_001341516.1_EVE_snv_4.csv
NP_057197.2,EVE,NP_057197.2_EVE_snv_8,460,5649,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_057197.2_EVE_snv_8.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_057197.2_EVE_snv_8.csv
NP_115599.2,EVE,NP_115599.2_EVE_snv_10,1346,15343,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_115599.2_EVE_snv_10.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_115599.2_EVE_snv_10.csv
NP_060956.1,EVE,NP_060956.1_EVE_snv_18,70,2863,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_060956.1_EVE_snv_18.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_060956.1_EVE_snv_18.csv
NP_055926.1,EVE,NP_055926.1_EVE_snv_20,465,4017,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_055926.1_EVE_snv_20.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_055926.1_EVE_snv_20.csv
NP_775292.1,EVE,NP_775292.1_EVE_snv_22,324,4808,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_775292.1_EVE_snv_22.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_775292.1_EVE_snv_22.csv
NP_037396.3,EVE,NP_037396.3_EVE_snv_29,350,3508,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_037396.3_EVE_snv_29.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_037396.3_EVE_snv_29.csv
NP_009004.2,EVE,NP_009004.2_EVE_snv_33,235,2681,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_009004.2_EVE_snv_33.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_009004.2_EVE_snv_33.csv
NP_061834.1,EVE,NP_061834.1_EVE_snv_39,528,4784,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_061834.1_EVE_snv_39.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_061834.1_EVE_snv_39.csv
NP_003354.2,EVE,NP_003354.2_EVE_snv_41,585,7052,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_003354.2_EVE_snv_41.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_003354.2_EVE_snv_41.csv
NP_001191140.1,EVE,NP_001191140.1_EVE_snv_57,163,1476,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_001191140.1_EVE_snv_57.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_001191140.1_EVE_snv_57.csv
NP_001073949.1,EVE,NP_001073949.1_EVE_snv_65,314,3615,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_001073949.1_EVE_snv_65.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_001073949.1_EVE_snv_65.csv
NP_001287771.1,EVE,NP_001287771.1_EVE_snv_71,171,2783,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_001287771.1_EVE_snv_71.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_001287771.1_EVE_snv_71.csv
NP_001137326.1,EVE,NP_001137326.1_EVE_snv_78,453,5053,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_001137326.1_EVE_snv_78.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_001137326.1_EVE_snv_78.csv
NP_114144.5,EVE,NP_114144.5_EVE_snv_80,393,4112,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_114144.5_EVE_snv_80.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_114144.5_EVE_snv_80.csv
NP_001229401.1,EVE,NP_001229401.1_EVE_snv_85,289,3498,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_001229401.1_EVE_snv_85.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_001229401.1_EVE_snv_85.csv
NP_071801.1,EVE,NP_071801.1_EVE_snv_101,186,2512,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_071801.1_EVE_snv_101.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_071801.1_EVE_snv_101.csv
NP_066962.2,EVE,NP_066962.2_EVE_snv_105,392,3751,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_066962.2_EVE_snv_105.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_066962.2_EVE_snv_105.csv
NP_079439.2,EVE,NP_079439.2_EVE_snv_107,425,4291,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_training_files_20240420/NP_079439.2_EVE_snv_107.csv,data/model_score_files/popEVE_snv_training_files_20240420/NP_079439.2_EVE_snv_107.csv
