protein_id,model,unique_id,pre_gap_filter_count,post_gap_filter_count,seen_count,not_seen_count,file_path,S3
NP_001341516.1,EVE,NP_001341516.1_EVE_snv_gf_4,15421,14248,769,13479,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001341516.1_EVE_snv_gf_4.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001341516.1_EVE_snv_gf_4.csv
NP_057197.2,EVE,NP_057197.2_EVE_snv_gf_8,6109,4788,348,4440,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_057197.2_EVE_snv_gf_8.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_057197.2_EVE_snv_gf_8.csv
NP_115599.2,EVE,NP_115599.2_EVE_snv_gf_10,16689,14774,1169,13605,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_115599.2_EVE_snv_gf_10.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_115599.2_EVE_snv_gf_10.csv
NP_060956.1,EVE,NP_060956.1_EVE_snv_gf_18,2933,2284,44,2240,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_060956.1_EVE_snv_gf_18.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_060956.1_EVE_snv_gf_18.csv
NP_055926.1,EVE,NP_055926.1_EVE_snv_gf_20,4482,3984,431,3553,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_055926.1_EVE_snv_gf_20.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_055926.1_EVE_snv_gf_20.csv
NP_775292.1,EVE,NP_775292.1_EVE_snv_gf_22,5132,2938,135,2803,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_775292.1_EVE_snv_gf_22.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_775292.1_EVE_snv_gf_22.csv
NP_037396.3,EVE,NP_037396.3_EVE_snv_gf_29,3858,2859,250,2609,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_037396.3_EVE_snv_gf_29.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_037396.3_EVE_snv_gf_29.csv
NP_009004.2,EVE,NP_009004.2_EVE_snv_gf_33,2916,2101,169,1932,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_009004.2_EVE_snv_gf_33.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_009004.2_EVE_snv_gf_33.csv
NP_061834.1,EVE,NP_061834.1_EVE_snv_gf_39,5312,3474,343,3131,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_061834.1_EVE_snv_gf_39.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_061834.1_EVE_snv_gf_39.csv
NP_003354.2,EVE,NP_003354.2_EVE_snv_gf_41,7637,4956,365,4591,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_003354.2_EVE_snv_gf_41.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_003354.2_EVE_snv_gf_41.csv
NP_001191140.1,EVE,NP_001191140.1_EVE_snv_gf_57,1639,1337,136,1201,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001191140.1_EVE_snv_gf_57.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001191140.1_EVE_snv_gf_57.csv
NP_001073949.1,EVE,NP_001073949.1_EVE_snv_gf_65,3929,3415,272,3143,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001073949.1_EVE_snv_gf_65.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001073949.1_EVE_snv_gf_65.csv
NP_001287771.1,EVE,NP_001287771.1_EVE_snv_gf_71,2954,2590,148,2442,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001287771.1_EVE_snv_gf_71.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001287771.1_EVE_snv_gf_71.csv
NP_001137326.1,EVE,NP_001137326.1_EVE_snv_gf_78,5506,3077,233,2844,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001137326.1_EVE_snv_gf_78.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001137326.1_EVE_snv_gf_78.csv
NP_114144.5,EVE,NP_114144.5_EVE_snv_gf_80,4505,3887,345,3542,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_114144.5_EVE_snv_gf_80.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_114144.5_EVE_snv_gf_80.csv
NP_001229401.1,EVE,NP_001229401.1_EVE_snv_gf_85,3787,3703,285,3418,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001229401.1_EVE_snv_gf_85.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001229401.1_EVE_snv_gf_85.csv
NP_071801.1,EVE,NP_071801.1_EVE_snv_gf_101,2698,2298,156,2142,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_071801.1_EVE_snv_gf_101.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_071801.1_EVE_snv_gf_101.csv
