protein_id,evo_model,unique_id,seen_count,not_seen_count,file_path,S3
NP_001341516.1,EVE,NP_001341516.1_EVE_3,876,35509,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001341516.1_EVE_3.csv,data/model_score_files/popEVE_training_files_20240420/NP_001341516.1_EVE_3.csv
NP_057197.2,EVE,NP_057197.2_EVE_7,460,14056,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_057197.2_EVE_7.csv,data/model_score_files/popEVE_training_files_20240420/NP_057197.2_EVE_7.csv
NP_115599.2,EVE,NP_115599.2_EVE_9,1346,37300,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_115599.2_EVE_9.csv,data/model_score_files/popEVE_training_files_20240420/NP_115599.2_EVE_9.csv
NP_060956.1,EVE,NP_060956.1_EVE_17,70,7093,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_060956.1_EVE_17.csv,data/model_score_files/popEVE_training_files_20240420/NP_060956.1_EVE_17.csv
NP_055926.1,EVE,NP_055926.1_EVE_19,465,9871,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_055926.1_EVE_19.csv,data/model_score_files/popEVE_training_files_20240420/NP_055926.1_EVE_19.csv
NP_775292.1,EVE,NP_775292.1_EVE_21,324,11779,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_775292.1_EVE_21.csv,data/model_score_files/popEVE_training_files_20240420/NP_775292.1_EVE_21.csv
NP_037396.3,EVE,NP_037396.3_EVE_28,350,8827,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_037396.3_EVE_28.csv,data/model_score_files/popEVE_training_files_20240420/NP_037396.3_EVE_28.csv
NP_009004.2,EVE,NP_009004.2_EVE_32,235,6605,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_009004.2_EVE_32.csv,data/model_score_files/popEVE_training_files_20240420/NP_009004.2_EVE_32.csv
NP_061834.1,EVE,NP_061834.1_EVE_38,528,12031,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_061834.1_EVE_38.csv,data/model_score_files/popEVE_training_files_20240420/NP_061834.1_EVE_38.csv
NP_003354.2,EVE,NP_003354.2_EVE_40,585,17712,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_003354.2_EVE_40.csv,data/model_score_files/popEVE_training_files_20240420/NP_003354.2_EVE_40.csv
NP_001191140.1,EVE,NP_001191140.1_EVE_56,163,3561,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001191140.1_EVE_56.csv,data/model_score_files/popEVE_training_files_20240420/NP_001191140.1_EVE_56.csv
NP_001073949.1,EVE,NP_001073949.1_EVE_64,314,9091,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001073949.1_EVE_64.csv,data/model_score_files/popEVE_training_files_20240420/NP_001073949.1_EVE_64.csv
NP_001287771.1,EVE,NP_001287771.1_EVE_70,171,6631,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001287771.1_EVE_70.csv,data/model_score_files/popEVE_training_files_20240420/NP_001287771.1_EVE_70.csv
NP_001137326.1,EVE,NP_001137326.1_EVE_77,453,12733,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001137326.1_EVE_77.csv,data/model_score_files/popEVE_training_files_20240420/NP_001137326.1_EVE_77.csv
NP_114144.5,EVE,NP_114144.5_EVE_79,393,10608,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_114144.5_EVE_79.csv,data/model_score_files/popEVE_training_files_20240420/NP_114144.5_EVE_79.csv
NP_001229401.1,EVE,NP_001229401.1_EVE_84,289,8983,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001229401.1_EVE_84.csv,data/model_score_files/popEVE_training_files_20240420/NP_001229401.1_EVE_84.csv
NP_071801.1,EVE,NP_071801.1_EVE_100,186,6198,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_071801.1_EVE_100.csv,data/model_score_files/popEVE_training_files_20240420/NP_071801.1_EVE_100.csv
NP_066962.2,EVE,NP_066962.2_EVE_104,392,9640,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_066962.2_EVE_104.csv,data/model_score_files/popEVE_training_files_20240420/NP_066962.2_EVE_104.csv
